source_root,source_file,round_id,family,task_id,instance_id,implementation_source,paper_facing_allowed,paper_role,evidence_class,replay_class,driver_id,driver_type,driver_version,model_family,model_id,model_size,model_backend,backend_engine,policy_version,prompt_template_hash,action_parser_version,budget,seed,evidence_validation_pass,trace_hash,artifact_hash,eval_hash,evaluator_output_hash,evaluator_version,real_upstream_live,real_upstream_replay,browser_backend,browser_version,upstream_package_version,repo,base_commit,harness_version,image_or_sif_hash,smoke_only,fixture_only,unsupported_backend_pair,regime,decision_label,decision_labels,measurable_queueing,significant_queueing,dominant_queueing,natural_failure_diversity_supported,dominant_failure_category,dominant_failure_share,p99_increase_supported,component_shift_supported,behavior_shift_supported,controller_reversal_supported,operating_point_shift_supported,end_to_end_p99_ms,dom_get_ms,screenshot_ms,network_or_har_ms,render_or_page_wait_ms,navigation_ms,exclusion_reason,backend,env_id,environment_id,model_version,run_id,suite_version,task_family,task_manifest_hash,telemetry_mode,trace_id,trace_schema_version,action_hash,duration_ms,environment_seed,obs_hash,reward,terminated,truncated,validation_pass,image_digest,image_digest_or_sif_hash,local_repo_path,patch_apply_success,patch_condition,patch_parse_status,sif_hash,snapshot_id,upstream_dataset_version,verifier_id,verifier_version,build_ms,error_class,failure_mode,failure_origin,manifest_path,mode,passed,queue_cap,retry_count,summary_path,test_ms,trace_path,verifier_queue_wait_ms,verifier_service_ms,verifier_workers,capture_timestamp,extra_headers_hash,final_url,gcp_public_host,pbs_job_id,site,start_url,REDACTED_BROWSER_STATE_LABEL_hash,task_success,upstream_commit,events_path,evaluator_result_path,task_manifest_path,trace_bundle_ref,upstream_root,upstream_task_id,score,backend_version,completion_tokens,invalid_action,model_latency_ms,model_path_hash,model_path_or_hf_id,model_revision,parse_status,prompt_tokens,tokenizer_hash,total_tokens,env_steps,patch_apply_error,patch_candidate_invalid_patch,patch_candidate_parse_status,patch_generation_latency_ms,patch_hash,patch_length,problem_statement_source,row_id,failure_category,concurrency,episode_count,end_to_end_p50_ms,end_to_end_p95_ms,verifier_queue_wait_p50_ms,verifier_queue_wait_p95_ms,verifier_queue_wait_p99_ms,verifier_service_p95_ms,verifier_service_p99_ms,queue_wait_share_p99,pass_rate,failure_rate,retry_rate,patch_generation_latency_ms_mean,natural_failure,count,share,model_size_b,offered_load,seed_count,end_to_end_latency_ms_mean,end_to_end_latency_ms_p50,end_to_end_latency_ms_p95,end_to_end_latency_ms_p99,model_latency_ms_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,invalid_action_rate,task_success_rate,reward_auc_over_wallclock_mean,trace_completeness_rate,framework_id,framework_version,adapter_version,input_csv,output_jsonl,row_count,status,full_training
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042347_08f5c4a8,miniwob/telemetry/basic/miniwob_20260424_042347_08f5c4a8/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/click-button,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.click-button,browsergym/miniwob.click-button,captured,miniwob_20260424_042347_08f5c4a8,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,d05ac046718b4fb8abc0c4ff4d66d4f9,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,13407.277052,1,aaa38d754464c3759291122ffb8585f6171e62fbf4fc67d3c7427a09dbd21998,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042402_896d5ff8,miniwob/telemetry/basic/miniwob_20260424_042402_896d5ff8/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/enter-text,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.enter-text,browsergym/miniwob.enter-text,captured,miniwob_20260424_042402_896d5ff8,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,b8418903bcfd4655a2b81779a7335dfa,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12646.059559,1,ad51cb2d81bdc57b531d7707a911ab7528e4d3bcc459b6f76154c11cc55eeee4,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042417_f346ebb6,miniwob/telemetry/basic/miniwob_20260424_042417_f346ebb6/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/focus-text,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.focus-text,browsergym/miniwob.focus-text,captured,miniwob_20260424_042417_f346ebb6,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,9dc73a65ea5244c58a91469c4e50bc5c,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12613.872127,1,1d8771d2eef4e43e44e085088b162dd3c0ea05a29fb963018a13b88ba345ac07,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042432_8188f8b0,miniwob/telemetry/basic/miniwob_20260424_042432_8188f8b0/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/click-checkboxes,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.click-checkboxes,browsergym/miniwob.click-checkboxes,captured,miniwob_20260424_042432_8188f8b0,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,a909df3aed0948c0ada40bd51e93b390,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12685.257836,1,e21427a23a7d2fd6fff4601a7c15636bc1bbc3da21465659a7b720fb1d78ba1a,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042447_498f503a,miniwob/telemetry/basic/miniwob_20260424_042447_498f503a/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/click-link,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.click-link,browsergym/miniwob.click-link,captured,miniwob_20260424_042447_498f503a,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,01bcb1c998d04481a9c3f5afb37c5538,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12615.41283,1,68dd46e4378c38f24194cb4628b4c14ab44918d5fb578823694939dd1a5dd5f1,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042502_a272658c,miniwob/telemetry/basic/miniwob_20260424_042502_a272658c/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/click-option,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.click-option,browsergym/miniwob.click-option,captured,miniwob_20260424_042502_a272658c,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,3c5c8440dfbf4471be6ac268396b490a,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12728.146943,1,f00afbad55e999bdccdb61a7098d4102262fd55be07a53842f355bfbb15957db,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042517_668047cc,miniwob/telemetry/basic/miniwob_20260424_042517_668047cc/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/count-shape,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.count-shape,browsergym/miniwob.count-shape,captured,miniwob_20260424_042517_668047cc,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,7bd8e805b83445a2a52c5f57acd5766a,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12605.292158,1,c8f2cffe82cc3fc3fbeac681670b4d4f893beb4ac0397e6c125ce38b69a43568,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042532_1103753a,miniwob/telemetry/basic/miniwob_20260424_042532_1103753a/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/count-sides,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.count-sides,browsergym/miniwob.count-sides,captured,miniwob_20260424_042532_1103753a,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,ba6ea00dd1d24d25acb5199195a03e41,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12581.66068,1,f300819a0d27012b63becdea2e2f5703c56e8001a006230fb3a74221785cc6a6,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042547_21c7aa3d,miniwob/telemetry/basic/miniwob_20260424_042547_21c7aa3d/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/drag-box,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.drag-box,browsergym/miniwob.drag-box,captured,miniwob_20260424_042547_21c7aa3d,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,1095984737c44e0b9f13557f961e5893,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12657.639625,1,0c6a83445d56528342e174f8192c6762afcbdf878b422cb86880a8447584bd25,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042602_ac317cd7,miniwob/telemetry/basic/miniwob_20260424_042602_ac317cd7/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/email-inbox,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.email-inbox,browsergym/miniwob.email-inbox,captured,miniwob_20260424_042602_ac317cd7,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,4b75809b2814483685941e8e2127da44,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12698.865362,1,8a7da707eb0cf8a15a6e6fdce73edf818eaf1a932d18995a0594bedc3017581e,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042617_4ad84aa5,miniwob/telemetry/basic/miniwob_20260424_042617_4ad84aa5/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/find-word,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.find-word,browsergym/miniwob.find-word,captured,miniwob_20260424_042617_4ad84aa5,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,9cffdac7078348cdbee282c97f54b800,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12606.214833,1,3c1819777e631119bd5c2137cc7a798a414f5d9f7a4863ae22f4589e82c25c74,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042632_26d6ef63,miniwob/telemetry/basic/miniwob_20260424_042632_26d6ef63/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/login-user,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.login-user,browsergym/miniwob.login-user,captured,miniwob_20260424_042632_26d6ef63,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,basic,5870cf523d5b4e8f97ae584d473e2f2f,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,12588.594373,1,2dd9b23a543d5345f6ff50e3fb051f4267a585d3a39737723ecbea8ad92a3957,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042649_708985c0,miniwob/telemetry/full/miniwob_20260424_042649_708985c0/summary.json,ROUND1_REAL_TASK_CUTOVER,miniwob,miniwob/click-button,,real_upstream,true,paper_facing,real_task_cutover,R0,,,playwright-1.44.0,,recorded-action-sequence,,,,captured,,,,,true,,,,,,,,browsergym_miniwob,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,browsergym_miniwob,browsergym/miniwob.click-button,browsergym/miniwob.click-button,captured,miniwob_20260424_042649_708985c0,0.1.0,miniwob,680ca90dd235dd846bc19689a667ecfcfb9770c3926c7b12a6d2ac79bc68178d,full,fe54a6cce0884fb9ac4ff17d1c0cbd68,1.0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,13558.071518,1,04c7628d967a7960587b2e27650ca6ce27d4e111d674e95f0660dd8bea88c749,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
